,Symbol,Name,1D Chart,Price (Intraday),Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Week Range,Region,Follow,Market Cap Num
1,NVDA,NVIDIA Corporation,,187.90,-0.08,-0.04%,107.672M,179.984M,4.575T,45.25,86.62 212.19,US,,4575000000000.0
2,AAPL,Apple Inc.,,260.58,-3.77,-1.43%,20.639M,48.702M,3.83T,32.44,169.21 288.62,US,,3830000000000.0
3,GOOG,Alphabet Inc.,,303.56,-0.38,-0.13%,9.577M,24.358M,3.672T,28.31,142.66 350.15,US,,3672000000000.0
5,MSFT,Microsoft Corporation,,398.40,-1.20,-0.30%,23.239M,31.249M,2.961T,25.11,344.79 555.45,US,,2961000000000.0
6,AMZN,"Amazon.com, Inc.",,204.86,+0.07,+0.03%,30.582M,46.996M,2.199T,27.73,161.38 258.60,US,,2198999999999.9998
7,TSM,Taiwan Semiconductor Manufacturing Company Limited,,360.39,-1.87,-0.52%,5.839M,13.099M,1.869T,28.91,134.25 380.00,US,,1869000000000.0
8,META,"Meta Platforms, Inc.",,644.74,+1.52,+0.24%,8.221M,16.9M,1.631T,27.24,479.80 796.25,US,,1631000000000.0
9,AVGO,Broadcom Inc.,,333.99,+0.48,+0.14%,11.572M,31.734M,1.584T,68.17,138.10 414.61,US,,1584000000000.0
10,TSLA,"Tesla, Inc.",,411.65,+0.43,+0.11%,47.147M,69.358M,1.545T,386.52,214.25 498.83,US,,1545000000000.0
11,BRK-A,Berkshire Hathaway Inc.,,"746,100.00","-1,860.00",-0.25%,169,766,1.074T,16.02,"685,150.00 812,855.00",US,,1074000000000.0001
13,JPM,JPMorgan Chase & Co.,,308.05,-0.73,-0.24%,5.159M,10.537M,1.035T,15.11,202.16 337.25,US,,1034999999999.9999
14,WMT,Walmart Inc.,,124.87,-1.75,-1.38%,37.16M,30.84M,995.57B,38.96,79.81 134.65,US,,995570000000.0
15,LLY,Eli Lilly and Company,,"1,023.22",+2.66,+0.26%,1.51M,3.312M,917.272B,45.32,"623.78 1,133.95",US,,917272000000.0
16,XOM,Exxon Mobil Corporation,,150.97,+0.29,+0.19%,15.097M,18.391M,636.665B,22.16,97.80 156.93,US,,636665000000.0
18,V,Visa Inc.,,318.93,-1.37,-0.43%,5.117M,7.528M,614.91B,29.50,299.00 375.51,US,,614910000000.0
20,JNJ,Johnson & Johnson,,246.91,+1.92,+0.78%,5.723M,9.122M,595.028B,22.07,141.50 246.35,US,,595028000000.0
21,ASML,ASML Holding N.V.,,"1,458.93",-9.79,-0.67%,1.099M,1.718M,566.28B,48.17,"578.51 1,493.48",US,,566280000000.0
23,BAC,Bank of America Corporation,,52.77,-0.59,-1.11%,39.737M,38.385M,527.08B,13.79,33.07 57.55,US,,527080000000.00006
24,MU,"Micron Technology, Inc.",,417.35,-3.60,-0.86%,21.151M,32.879M,469.731B,39.06,61.54 455.50,US,,469731000000.0
25,MA,Mastercard Incorporated,,520.26,-7.72,-1.46%,2.331M,3.502M,464.3B,34.50,465.59 601.77,US,,464300000000.0
